Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
хурма,100,0.50,0.00,13.20,53.00
черешня,100,1.10,0.40,10.60,50.00
черника,100,1.10,0.60,8.00,44.00
шелковица,100,0.70,0.00,12.00,50.00
шиповник свежий,100,1.60,0.00,10.00,51.00
яблоки,100,0.20,0.36,8.00,37.00
абрикосовый сок,100,0.50,0.00,13.70,56.00
айвовый сок,100,0.50,0.00,10.40,45.00
ананас консервированный,100,0.00,0.00,15.00,64.00
ананасовый сок,100,0.40,0.10,15.70,68.00
апельсиновый сок,100,0.70,0.00,12.80,54.00
виноградный сок,100,0.30,0.00,13.80,54.00
вишневый сок,100,0.70,0.00,10.20,47.00
гранатовый сок,100,0.30,0.00,14.50,64.00
грейпфрутовый сок,100,0.30,0.00,8.00,36.00
компот из абрикосов,100,0.50,0.00,21.00,85.00
компот из айвы,100,0.40,0.00,20.00,79.00
компот из винограда,100,0.50,0.00,19.70,77.00
компот из вишни,100,0.60,0.00,24.50,99.00
компот из груш,100,0.20,0.00,18.20,70.00
компот из мандаринов,100,0.10,0.00,18.10,69.00
компот из персиков,100,0.50,0.00,19.90,78.00
компот из слив,100,0.50,0.00,23.90,96.00
компот из черешни,100,0.50,0.00,19.90,78.00
компот из яблок,100,0.20,0.00,22.10,85.00
лимонный сок,100,0.60,0.00,2.50,26.00
мандариновый сок,100,0.80,0.00,9.00,43.00
персиковый сок,100,0.30,0.00,17.00,66.00
сливовый сок,100,0.30,0.00,16.10,66.00
сок алое,100,0.00,0.00,4.00,32.00
фреш яблочно-морковный,100,0.90,0.10,8.20,36.00
черноплодно-рябиновый сок,100,0.10,0.00,7.40,32.00
черносмородиновый сок,100,0.50,0.00,7.90,40.00
шиповниковый сок,100,0.10,0.00,17.60,70.00
яблочный сок,100,0.50,0.00,9.10,38.00
варенье из айвы,100,0.40,0.00,68.70,263.00
варенье из груш,100,0.40,0.00,70.90,271.00
варенье из клубники,100,0.30,0.00,70.90,271.00
варенье из малины,100,0.60,0.00,71.20,275.00
варенье из мандаринов,100,0.70,0.00,72.30,278.00
варенье из персиков,100,0.50,0.00,64.30,248.00
варенье из сливы,100,0.40,0.00,73.40,281.00
варенье из черноплодной рябины,100,0.40,0.00,63.80,246.00
варенье из яблок,100,0.40,0.00,66.20,254.00
джем из абрикосов,100,0.50,0.00,68.80,265.00
джем из мандаринов,100,0.30,0.00,67.80,259.00
джем из черной смородины,100,0.60,0.00,68.20,265.00
повидло яблочное,100,0.40,0.00,65.30,250.00
пюре яблочное,100,0.60,0.10,19.20,78.00
абрикосы сушеные без косточки (курага),100,5.20,0.00,55.00,234.00
абрикосы сушеные с косточкой (урюк),100,5.00,0.00,53.00,227.00
бананы сушеные,100,3.90,1.80,80.50,390.00
виноград сушеный (изюм),100,1.80,0.00,66.00,262.00
инжир сушеный,100,3.10,1.20,53.20,238.00
персики сушеные (курага),100,3.00,0.00,54.50,227.00
слива сушеная (чернослив),100,2.30,0.00,58.40,242.00
финики сушеные,100,2.00,0.50,72.30,306.00
шиповник сушеный,100,3.40,0.00,21.50,110.00
яблоки сушеные,100,2.28,0.00,60.83,259.00
белые грибы,100,3.70,1.70,1.10,23.00
белые грибы сушеные,100,20.10,4.80,7.60,152.00
вешенки,100,18.90,0.30,43.90,40.00
грибы порчини в масле,100,2.10,6.10,0.10,278.00
грибы порчини сухие,100,20.10,4.80,7.60,152.00
грузди,100,1.80,0.80,0.50,16.00
лисички,100,1.60,1.10,1.50,20.00
маслята,100,2.40,0.70,0.50,9.00
опята,100,2.20,1.20,0.50,17.00
подберезовики,100,2.30,0.90,1.40,23.00
подберезовики сушеные,100,23.50,9.20,14.30,231.00
подосиновики,100,3.30,0.50,1.20,22.00
подосиновики сушеные,100,35.40,5.40,12.90,239.00
рыжики,100,1.90,0.80,0.50,17.00
сморчки,100,2.90,0.40,0.20,16.00
сыроежки,100,1.70,0.70,1.50,15.00
трюфели консервированные,100,3.00,0.50,2.00,24.00
шампиньоны,100,4.30,1.00,0.10,27.00
шампиньоны маринованные,100,3.50,0.80,1.20,24.00
арахис,100,26.30,45.20,9.90,551.00
каштаны жареные,100,3.20,2.20,33.80,182.00
кешью,100,25.20,53.60,12.60,633.00
кокосовый орех,100,3.40,33.50,29.50,380.00
миндаль,100,18.60,57.70,20.50,649.00
орехи грецкие,100,15.60,62.00,18.30,700.00
орехи бразильские,100,14.00,66.00,12.00,656.00
орехи кедровые,100,11.57,60.98,19.30,629.00
паста фисташковая,100,58.80,26.00,11.70,680.00
семечки подсолнуха жареные,100,20.70,52.90,5.30,578.00
семечки подсолнуха сушеные,100,23.00,49.50,18.80,610.00
семечки тыквы жареные,100,29.00,46.70,13.10,596.00
семечки тыквы сушеные,100,24.50,46.00,17.80,580.00
фисташки,100,20.50,48.50,25.00,610.00
фундук,100,16.10,66.90,9.90,707.00
баранина отварная,100,22.00,17.20,0.00,243.00
бекон английский,100,8.66,57.40,0.09,556.00
бефстроганов,100,18.00,14.30,6.60,228.00
биточки паровые,100,14.00,11.60,8.20,194.00
бифштекс,100,28.80,11.00,0.00,214.00
говядина отварная,100,25.80,16.80,0.00,254.00
говядина сырая вырезка,100,20.20,2.80,0.00,106.00
говядина тушеная,100,14.30,5.30,3.30,117.00
говяжья мраморная вырезка,100,22.00,18.00,0.00,259.00
гуляш,100,12.30,12.20,3.90,175.00
жиго ягнёнка,100,9.30,15.50,2.00,220.00
каре ягнёнка,100,11.10,17.20,0.50,241.00
карпаччо из говядины,100,8.80,9.20,1.10,112.90
котлеты говяжьи,100,14.60,11.80,13.60,220.00
котлеты свиные,100,10.60,26.80,13.60,340.00
кролик жареный,100,25.00,14.80,0.00,233.00
кролик отварной,100,24.60,11.70,0.00,204.00
мозги говяжьи,100,11.70,8.60,0.00,124.00
мраморная телятина,100,22.00,18.00,0.00,259.00
мышечный желудок кур,100,21.00,6.40,0.60,130.00
мясо в горшочке,100,1.80,0.80,8.10,47.00
мясо поросят,100,20.60,3.00,0.00,109.00
пельмени отварные,100,10.00,14.00,14.50,224.00
печень говяжья,100,17.90,3.70,0.00,105.00
печень говяжья тушёная,100,6.20,7.70,6.80,121.00
печень кур,100,20.40,5.90,1.40,140.00
печень свиная,100,18.80,3.80,0.00,109.00
почки говяжьи,100,15.20,2.80,0.00,86.00
почки свиные,100,15.00,3.60,0.00,92.00
свинина жареная с луком,100,20.00,24.20,6.80,306.00
свинина отварная,100,22.60,31.60,0.00,375.00
свинина тушеная,100,9.80,20.30,3.20,235.00
свиные отбивные гриль,100,15.00,27.20,0.00,305.00
сердце говяжье,100,16.00,3.50,0.00,96.00
сердце кур,100,15.80,10.30,0.80,159.00
сердце свиное,100,16.20,4.00,0.00,101.00
студень из говяжьих ножек,100,6.00,4.00,0.00,60.00
тартар из говядины,100,10.40,8.40,0.80,120.70
телятина (щёчки),100,20.40,0.90,0.00,89.00
телятина вырезка,100,19.70,2.00,0.00,97.00
телятина отварная,100,30.70,0.90,0.00,131.00
телятина с тушёным цикорием,100,7.80,8.60,1.60,113.00
телятина, тушёная в пиве,100,5.20,7.60,6.50,133.00
телячьи щёчки с овощами,100,8.60,5.30,6.40,112.00
тендерлоин со спаржей,100,10.00,15.70,1.90,192.00
торт печеночный,100,21.00,6.90,6.00,170.00
филе кролика с карт.пюре,100,8.60,17.70,4.30,210.00
филе ягнёнка с овощами,100,7.10,8.90,7.70,139.00
шашлык из свинины,100,26.50,23.10,0.00,324.00
шницель,100,17.60,25.10,10.20,338.00
шницель свиной,100,18.80,32.10,9.80,404.00
эскалоп,100,18.00,32.60,0.00,366.00
колбаса диетическая,100,12.10,13.50,0.00,170.00
колбаса для завтрака,100,13.00,13.90,2.50,187.00
колбаса докторская,100,12.80,22.20,1.50,257.00
колбаса любительская вареная,100,12.20,28.00,0.00,301.00
колбаса молочная,100,11.70,22.80,0.00,252.00
колбаса московская вареная,100,11.50,21.80,2.00,250.00
колбаса отдельная,100,11.00,21.00,1.80,240.00
колбаса прима,100,13.00,19.40,0.00,227.00
колбаса русская,100,11.80,28.90,0.00,302.00
колбаса свиная вареная,100,10.20,25.10,1.90,274.00
колбаса степная,100,11.10,20.10,2.90,237.00
колбаса столичная вареная,100,15.10,28.70,0.00,319.00
колбаса столовая,100,11.10,20.20,1.90,234.00
колбаса чайная,100,11.70,18.40,1.90,216.00
колбаса южная,100,12.40,17.30,2.50,215.00
мясной хлеб ветчинный,100,12.90,21.80,2.00,256.00
мясной хлеб говяжий,100,10.50,23.50,1.80,261.00
мясной хлеб отдельный,100,12.00,21.00,2.30,246.00
мясной хлеб чайный,100,10.30,20.70,2.80,239.00
сардельки говяжьи,100,11.40,18.20,1.50,215.00
сардельки свиные,100,10.10,31.60,1.90,332.00
сосиски говяжьи,100,10.40,20.10,0.80,226.00
сосиски любительские,100,9.00,29.50,0.70,304.00
сосиски молочные,100,11.00,23.90,1.60,266.00
сосиски особые,100,11.80,24.70,0.00,270.00
сосиски русские,100,11.30,22.00,0.00,243.00
ветчина варено-копчёная,100,22.60,20.90,0.00,280.00
